x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.0,0.0,0.0,-0.03651195764541626,-0.03214907646179199,-0.015352557800440536,-0.06517177820205688,-0.09078001976013184,-0.028125550053744064,-0.09289509057998657,-0.13163352012634277,-0.0412611024600551,-0.12053567171096802,-0.14596563577651978,-0.051871228418974624,-0.02772843837738037,-0.1588425636291504,-0.020630919761686073,-0.02355140447616577,-0.21822291612625122,-0.04102267643037294,-0.023838162422180176,-0.17179393768310547,-0.050627685539154754,-0.0263596773147583,-0.12591952085494995,-0.054192210934786544,-0.0016663074493408203,-0.15388989448547363,-0.021237590737371193,0.004999637603759766,-0.19865012168884277,-0.0462163383287475,-0.0038347244262695312,-0.14135318994522095,-0.053709107838301406,-0.011320710182189941,-0.10036790370941162,-0.054712630264191375,0.02361917495727539,-0.14323711395263672,-0.02396351789656137,0.03362995386123657,-0.19707578420639038,-0.04583399688425516,0.02192842960357666,-0.14837294816970825,-0.044703371278671966,0.011262118816375732,-0.10764926671981812,-0.0393733712059543,0.044481635093688965,-0.12732136249542236,-0.027753209151057945,0.06420445442199707,-0.1734529733657837,-0.042664773218064056,0.07647430896759033,-0.20242732763290405,-0.04581595157804941,0.0877763032913208,-0.2336491346359253,-0.04554516022625421,Y
0.0,0.0,0.0,-0.036741554737091064,-0.03411287069320679,-0.014334365840966257,-0.0646737813949585,-0.09066116809844971,-0.026252291280741247,-0.09141683578491211,-0.13375067710876465,-0.039429831434006246,-0.11904746294021606,-0.14837056398391724,-0.050225014913792165,-0.027379155158996582,-0.1556159257888794,-0.016017400775069746,-0.024139881134033203,-0.2187117338180542,-0.04026229225468114,-0.026144027709960938,-0.17054319381713867,-0.05336458154391721,-0.029552996158599854,-0.12489551305770874,-0.0583358287103124,-0.0009018182754516602,-0.14883971214294434,-0.01788130879771188,0.00596010684967041,-0.1968531608581543,-0.04601772047948316,-0.004433572292327881,-0.13931256532669067,-0.055888663161510976,-0.013299345970153809,-0.09906512498855591,-0.05761290260028318,0.024583399295806885,-0.13960105180740356,-0.022477035526151212,0.03528106212615967,-0.19414275884628296,-0.04620845906805471,0.022162914276123047,-0.1425066590309143,-0.045448339659685644,0.01115560531616211,-0.10123783349990845,-0.03926468186449483,0.04617267847061157,-0.1259809136390686,-0.028317536342854055,0.06448376178741455,-0.17152166366577148,-0.04256080754470304,0.07670015096664429,-0.19960516691207886,-0.04505260952186063,0.08751636743545532,-0.2315673828125,-0.044114380259031805,Y
0.0,0.0,0.0,-0.037703633308410645,-0.034906208515167236,-0.01371030515636562,-0.06527131795883179,-0.09178143739700317,-0.025255245218232858,-0.09121185541152954,-0.13484758138656616,-0.03808882186766027,-0.11869657039642334,-0.14907217025756836,-0.04856078425999044,-0.027101993560791016,-0.15566885471343994,-0.015115547055557954,-0.02438199520111084,-0.21554601192474365,-0.03830210963840841,-0.025996863842010498,-0.16687476634979248,-0.05073153326864599,-0.029306113719940186,-0.12033736705780029,-0.05528749624843954,-0.0002861618995666504,-0.14874780178070068,-0.016941701123670327,0.0057724714279174805,-0.19539260864257812,-0.04365528474207281,-0.004337608814239502,-0.1369081735610962,-0.05255109916086553,-0.012272477149963379,-0.0960233211517334,-0.05376156891341566,0.02545022964477539,-0.13877540826797485,-0.021387907738045442,0.03635686635971069,-0.1916288137435913,-0.04406328971143125,0.02297663688659668,-0.1393999457359314,-0.04229070718045591,0.012250363826751709,-0.09801286458969116,-0.03554578969831823,0.047157883644104004,-0.12453263998031616,-0.02705792995746492,0.06560689210891724,-0.1701403260231018,-0.04050935904140829,0.0776904821395874,-0.19877946376800537,-0.042169281343177545,0.08895307779312134,-0.23110681772232056,-0.04066664824838995,Y
0.0,0.0,0.0,-0.037291109561920166,-0.037587881088256836,-0.01383978543836406,-0.06458103656768799,-0.0954626202583313,-0.025601183493023427,-0.09066349267959595,-0.13928824663162231,-0.03873530911315015,-0.11842846870422363,-0.15463829040527344,-0.0495151592980676,-0.02645200490951538,-0.1594577431678772,-0.01454167949069074,-0.02319490909576416,-0.22051578760147095,-0.03813063116777471,-0.025607645511627197,-0.17232096195220947,-0.05093873800743154,-0.029304981231689453,-0.12549817562103271,-0.05570207299697927,0.0001780986785888672,-0.15235579013824463,-0.016448767353182348,0.006595134735107422,-0.20024704933166504,-0.0434109135161691,-0.003676474094390869,-0.14180970191955566,-0.052535322923546346,-0.01114189624786377,-0.10064494609832764,-0.053844866771584066,0.02581489086151123,-0.14185386896133423,-0.02110470408607057,0.03752380609512329,-0.19526875019073486,-0.04407894002306989,0.023582279682159424,-0.14356720447540283,-0.04253080250728658,0.012362122535705566,-0.10232454538345337,-0.03586156802285245,0.0474429726600647,-0.12664073705673218,-0.02701791698146394,0.0660315752029419,-0.17268633842468262,-0.04071337865698865,0.07826042175292969,-0.20151740312576294,-0.042551231999283345,0.08974820375442505,-0.23394525051116943,-0.04112931849468282,Y
0.0,0.0,0.0,-0.03769153356552124,-0.03657495975494385,-0.013953291630826925,-0.06522047519683838,-0.09457290172576904,-0.02553963736303899,-0.09102451801300049,-0.13834166526794434,-0.03843058720835302,-0.11871564388275146,-0.15384095907211304,-0.04902744368322942,-0.026607215404510498,-0.15852046012878418,-0.015294546081207727,-0.023312628269195557,-0.21972370147705078,-0.038834464556060766,-0.025400638580322266,-0.1715967059135437,-0.051515706634603475,-0.02907615900039673,-0.12474530935287476,-0.0561753928721771,0.00017774105072021484,-0.15071117877960205,-0.017163597798429464,0.006686389446258545,-0.19793790578842163,-0.0446680866242275,-0.004082202911376953,-0.13878607749938965,-0.054104448115907644,-0.012339651584625244,-0.09686863422393799,-0.05551510006793592,0.025721967220306396,-0.14029991626739502,-0.021737969300232862,0.03743898868560791,-0.19257068634033203,-0.045192901796184515,0.02287083864212036,-0.1412009596824646,-0.04418270737537,0.010998547077178955,-0.10022509098052979,-0.037809387600503896,0.04734337329864502,-0.12577009201049805,-0.027520130208216642,0.06615602970123291,-0.17218685150146484,-0.04151633829482648,0.07850170135498047,-0.20133042335510254,-0.043750532722555135,0.09003859758377075,-0.23386824131011963,-0.042645749455772375,Y
0.0,0.0,0.0,-0.03798705339431763,-0.03530740737915039,-0.014845956232164781,-0.06599456071853638,-0.09271693229675293,-0.02668131806305496,-0.09212809801101685,-0.13660144805908203,-0.039613370898877065,-0.11979973316192627,-0.1531011462211609,-0.05002838105312435,-0.02797156572341919,-0.15513145923614502,-0.01666278496733753,-0.02324235439300537,-0.21727263927459717,-0.03976810083142368,-0.024720072746276855,-0.16994255781173706,-0.05128909752122013,-0.028634250164031982,-0.12370353937149048,-0.0552489358221635,-0.0009401440620422363,-0.14850342273712158,-0.017963915247236173,0.00640338659286499,-0.1942567229270935,-0.04477797180763332,-0.003704965114593506,-0.13500523567199707,-0.053074018213663976,-0.011988520622253418,-0.09603291749954224,-0.05395482957712261,0.025006234645843506,-0.13878929615020752,-0.02202319831005184,0.03711128234863281,-0.19070541858673096,-0.04536456719390003,0.023400068283081055,-0.1398249864578247,-0.043729999217902105,0.011854112148284912,-0.100491464138031,-0.03712597966543285,0.04664337635040283,-0.12454491853713989,-0.027354314107213895,0.06533670425415039,-0.17001676559448242,-0.04193914041272251,0.07820433378219604,-0.19832545518875122,-0.04431964934221355,0.0902981162071228,-0.23015600442886353,-0.04325756535283176,Y
0.0,0.0,0.0,-0.03826904296875,-0.036545515060424805,-0.014242637693882898,-0.0671086311340332,-0.09516328573226929,-0.025564249396325067,-0.09279227256774902,-0.1401028037071228,-0.037915130868555025,-0.11962020397186279,-0.1576310396194458,-0.04768164621293636,-0.02698129415512085,-0.15765583515167236,-0.016167679592967943,-0.022502481937408447,-0.21817022562026978,-0.03836001993715854,-0.025028109550476074,-0.16981172561645508,-0.04907559023797603,-0.0291367769241333,-0.12402188777923584,-0.05273750962317081,6.455183029174805e-05,-0.15053600072860718,-0.01762397938966842,0.007168829441070557,-0.19676774740219116,-0.04389907957613559,-0.0032862424850463867,-0.1374104619026184,-0.051977006509901,-0.01145404577255249,-0.09850895404815674,-0.052928736224771455,0.025760293006896973,-0.14043861627578735,-0.02169032932818027,0.038094162940979004,-0.19398349523544312,-0.044706141367555574,0.024443447589874268,-0.14378297328948975,-0.043263504073024706,0.012883782386779785,-0.1048019528388977,-0.037018785044551805,0.047118306159973145,-0.12577557563781738,-0.026906398847700075,0.06574589014053345,-0.17203503847122192,-0.04167124421894641,0.07867097854614258,-0.19971448183059692,-0.04442305655777545,0.09056299924850464,-0.2314673662185669,-0.04369495974481197,Y
0.0,0.0,0.0,-0.03799158334732056,-0.035630643367767334,-0.015029892969295133,-0.0658295750617981,-0.09090995788574219,-0.027358643423184503,-0.09131526947021484,-0.13723540306091309,-0.04065838799940025,-0.1188775897026062,-0.15560704469680786,-0.05141384125815307,-0.026867449283599854,-0.15520185232162476,-0.017713846351369966,-0.02281975746154785,-0.2146506905555725,-0.04036333383189117,-0.02523714303970337,-0.1653568148612976,-0.05120929674373542,-0.029126763343811035,-0.11968642473220825,-0.0548368167983142,9.03010368347168e-05,-0.14831161499023438,-0.01887198136316215,0.006213545799255371,-0.19460934400558472,-0.04569751368032371,-0.004076182842254639,-0.13553249835968018,-0.05392306269274627,-0.011678159236907959,-0.0953022837638855,-0.05496844248042976,0.025898635387420654,-0.13836979866027832,-0.022634256343707193,0.03704804182052612,-0.19109201431274414,-0.04623088584409629,0.023063242435455322,-0.1415797472000122,-0.045059490661486734,0.011795103549957275,-0.10222578048706055,-0.0388862972067443,0.04745042324066162,-0.12409013509750366,-0.027573516304954637,0.06654530763626099,-0.17060428857803345,-0.042466751943692316,0.07992839813232422,-0.19820910692214966,-0.04537792475090896,0.09249591827392578,-0.22914433479309082,-0.04476737947331344,Y
0.0,0.0,0.0,-0.03788197040557861,-0.03536665439605713,-0.015048877405121175,-0.06569170951843262,-0.09193301200866699,-0.02744132380385622,-0.09094971418380737,-0.13858330249786377,-0.04078661564190611,-0.11838877201080322,-0.15805870294570923,-0.05145621586044058,-0.027154862880706787,-0.15575826168060303,-0.018730946885540334,-0.02263420820236206,-0.21713316440582275,-0.041793732972934095,-0.02482318878173828,-0.16800063848495483,-0.05240531552036032,-0.028842806816101074,-0.1223946213722229,-0.05567330035765394,-0.00022107362747192383,-0.1489207148551941,-0.01994565229315981,0.006896555423736572,-0.19562923908233643,-0.04667342367966398,-0.0034034252166748047,-0.13635963201522827,-0.05422444182832464,-0.011796236038208008,-0.09823590517044067,-0.054743069293095914,0.025555193424224854,-0.13908714056015015,-0.02376282315154299,0.03713798522949219,-0.19242173433303833,-0.04736325431068167,0.023744583129882812,-0.1418260931968689,-0.045459012569978086,0.0125657320022583,-0.10310322046279907,-0.038715134443833676,0.046973347663879395,-0.12509196996688843,-0.02877605620224699,0.06576240062713623,-0.1726359724998474,-0.043803504737212506,0.07901573181152344,-0.2001764178276062,-0.04633931356866583,0.09154051542282104,-0.23140501976013184,-0.045322070898606626,Y
0.0,0.0,0.0,-0.03802931308746338,-0.03552013635635376,-0.015445038289442437,-0.06656265258789062,-0.09288901090621948,-0.02783223202885665,-0.0920943021774292,-0.138252854347229,-0.04116585625769176,-0.11905568838119507,-0.158744215965271,-0.05174020825387515,-0.027601897716522217,-0.1588202714920044,-0.017636525989189522,-0.02233564853668213,-0.21912091970443726,-0.0406571343398241,-0.024459004402160645,-0.1694687008857727,-0.05166424213410892,-0.028479695320129395,-0.12399888038635254,-0.05526913477541484,-0.0003447532653808594,-0.1518014669418335,-0.01874838917018451,0.007302522659301758,-0.1976885199546814,-0.045895503447070496,-0.0027989745140075684,-0.13715589046478271,-0.05407174079181232,-0.010708272457122803,-0.09837836027145386,-0.0547157950556425,0.025414466857910156,-0.14108413457870483,-0.02254572285772838,0.037905097007751465,-0.1917247772216797,-0.04653645454408206,0.02443331480026245,-0.13940542936325073,-0.044674513474717514,0.013197660446166992,-0.10026955604553223,-0.037586176381125824,0.04710620641708374,-0.12567275762557983,-0.0275780405706314,0.06543529033660889,-0.1729334592819214,-0.04236420391561069,0.0784449577331543,-0.2006334662437439,-0.0443633250749258,0.090870201587677,-0.2322291135787964,-0.042794843748822586,Y
0.0,0.0,0.0,-0.038263559341430664,-0.03634613752365112,-0.01494438073328297,-0.0662875771522522,-0.09480959177017212,-0.026501499700458453,-0.09141403436660767,-0.14077705144882202,-0.03908948286166947,-0.11812633275985718,-0.1574798822402954,-0.048830967980535434,-0.027335762977600098,-0.1598140001296997,-0.015618722538562224,-0.0216372013092041,-0.2200896143913269,-0.03810332028857033,-0.023660123348236084,-0.16936355829238892,-0.04859278782001297,-0.02736043930053711,-0.12337738275527954,-0.05184692947855751,0.00011008977890014648,-0.1528732180595398,-0.016843885767372058,0.0074980854988098145,-0.19903510808944702,-0.04339397384515564,-0.002629220485687256,-0.13742059469223022,-0.05074504076233666,-0.010020136833190918,-0.0983927845954895,-0.05070001317849915,0.02584517002105713,-0.14212149381637573,-0.020898484277637408,0.03783756494522095,-0.1934846043586731,-0.044601612377078936,0.024116992950439453,-0.13999390602111816,-0.042096462684781955,0.01311945915222168,-0.10037845373153687,-0.0344652688383178,0.04724276065826416,-0.12634456157684326,-0.026226692485721514,0.06623351573944092,-0.17347395420074463,-0.04087826295486252,0.07911539077758789,-0.2017553448677063,-0.042766031461866305,0.09132188558578491,-0.234413743019104,-0.0410793503998832,Y
0.0,0.0,0.0,-0.039700865745544434,-0.03670448064804077,-0.015012401344421278,-0.06789064407348633,-0.09240961074829102,-0.027311656812372576,-0.09336578845977783,-0.1387506127357483,-0.040719995463433634,-0.12054979801177979,-0.1571969985961914,-0.05164435710960902,-0.028780758380889893,-0.15727746486663818,-0.015994871223512064,-0.022523164749145508,-0.2193373441696167,-0.03848302196914233,-0.02434980869293213,-0.17289739847183228,-0.04979685526544131,-0.028321683406829834,-0.1262199878692627,-0.053633963877501856,-0.0013284087181091309,-0.15118736028671265,-0.017024733314457308,0.006869792938232422,-0.19794511795043945,-0.04310495611483134,-0.0030800700187683105,-0.13944566249847412,-0.05147328432852305,-0.011866509914398193,-0.10050708055496216,-0.05245435815507449,0.024547100067138672,-0.142086923122406,-0.020751752147617708,0.036591410636901855,-0.1954057216644287,-0.04366618599945582,0.02363574504852295,-0.14418178796768188,-0.042058723235669504,0.012377023696899414,-0.10474568605422974,-0.03545268830114878,0.04575228691101074,-0.12734997272491455,-0.025736589173021684,0.06485414505004883,-0.1744723916053772,-0.03984724935347117,0.07841044664382935,-0.20342016220092773,-0.04198601674491442,0.09102451801300049,-0.23660928010940552,-0.04069505837017573,Y
0.0,0.0,0.0,-0.0408208966255188,-0.036351144313812256,-0.014058935197397204,-0.07016885280609131,-0.0929444432258606,-0.026140397155984374,-0.09582602977752686,-0.1392916440963745,-0.03925872381995532,-0.1229177713394165,-0.15735220909118652,-0.04968895923565242,-0.029452621936798096,-0.15863120555877686,-0.01804404121111247,-0.022936880588531494,-0.22362101078033447,-0.040263520295127364,-0.027003824710845947,-0.17609405517578125,-0.05052675467203471,-0.0320170521736145,-0.13052117824554443,-0.05381309028933856,-0.0019080638885498047,-0.15237903594970703,-0.01958568740855071,0.006203055381774902,-0.2005535364151001,-0.04553757395814273,-0.0050376057624816895,-0.14057719707489014,-0.05245047968099925,-0.013494372367858887,-0.10304909944534302,-0.05249940764377925,0.024271726608276367,-0.1430341601371765,-0.02355234485338542,0.03578662872314453,-0.1968042254447937,-0.046231524760230513,0.022212982177734375,-0.14262062311172485,-0.04280247327159259,0.011511504650115967,-0.102580726146698,-0.03506456848452899,0.04622471332550049,-0.12867146730422974,-0.02873520340989444,0.06591653823852539,-0.17701858282089233,-0.04321147661875102,0.07922816276550293,-0.20748239755630493,-0.04479061600039813,0.09169232845306396,-0.24322915077209473,-0.043004484588607284,Y
0.0,0.0,0.0,-0.041115760803222656,-0.03603863716125488,-0.014713740514366691,-0.07107502222061157,-0.095115065574646,-0.02683227749332673,-0.0975835919380188,-0.1424744725227356,-0.040017722712605064,-0.12553292512893677,-0.15961134433746338,-0.05039875076874978,-0.03092128038406372,-0.16178947687149048,-0.01855103539094216,-0.023703455924987793,-0.22891086339950562,-0.04068953411444909,-0.025478780269622803,-0.17952805757522583,-0.05037449912890679,-0.029867470264434814,-0.13460701704025269,-0.053472457991688316,-0.0016838312149047852,-0.15625375509262085,-0.020128049494474,0.007921040058135986,-0.203205406665802,-0.046849197314827506,-0.002091526985168457,-0.1407795548439026,-0.05419241504534966,-0.01094120740890503,-0.104342520236969,-0.0545304441617418,0.026011168956756592,-0.14644229412078857,-0.024132349135129516,0.03958272933959961,-0.20093613862991333,-0.048265385048239295,0.025877535343170166,-0.14473366737365723,-0.045737175808994834,0.013659238815307617,-0.10523128509521484,-0.038420485870688026,0.049065351486206055,-0.13166451454162598,-0.029264638738482063,0.0681467056274414,-0.17969512939453125,-0.04536624492868668,0.08177673816680908,-0.2086777687072754,-0.04779101403221375,0.09454745054244995,-0.24321627616882324,-0.04636367277964837,Y
0.0,0.0,0.0,-0.04162240028381348,-0.0382990837097168,-0.017263452179435035,-0.0722922682762146,-0.1015850305557251,-0.030320563010576507,-0.10000711679458618,-0.15043264627456665,-0.0440339992117913,-0.12919676303863525,-0.1680833101272583,-0.05430037773371055,-0.03191792964935303,-0.17038124799728394,-0.020634968422058364,-0.02306044101715088,-0.23887884616851807,-0.044316923834088584,-0.025736093521118164,-0.185832679271698,-0.053605458356145164,-0.030723392963409424,-0.14207851886749268,-0.056152755982878944,-0.0010352134704589844,-0.16454875469207764,-0.021177746943834563,0.009572863578796387,-0.21251362562179565,-0.049322726793292304,-0.0020946264266967773,-0.14639300107955933,-0.05564281216979339,-0.011635422706604004,-0.11337792873382568,-0.05494366458773925,0.02756524085998535,-0.15418535470962524,-0.024574865244034072,0.04238611459732056,-0.20976775884628296,-0.05051940552115752,0.027392089366912842,-0.14919346570968628,-0.04649494088411643,0.014333248138427734,-0.10906606912612915,-0.03754341474891021,0.05083060264587402,-0.1386319398880005,-0.02932299359858348,0.0710095763206482,-0.18779373168945312,-0.046494773246053,0.08513277769088745,-0.21750521659851074,-0.04861141613841369,0.09829813241958618,-0.25359731912612915,-0.04657217732787444,Y
0.0,0.0,0.0,-0.041498661041259766,-0.03929102420806885,-0.01921618444680462,-0.07293164730072021,-0.10315078496932983,-0.033542984107725715,-0.10134857892990112,-0.15341991186141968,-0.048267473409168815,-0.13225263357162476,-0.17179852724075317,-0.059456718096726036,-0.03139150142669678,-0.1800411343574524,-0.022261702398054695,-0.022344648838043213,-0.24520856142044067,-0.047303796688311195,-0.024854421615600586,-0.1885351538658142,-0.057431952038996315,-0.030115485191345215,-0.1398448348045349,-0.06012968806385288,-0.0003618597984313965,-0.1730772852897644,-0.02237421734093914,0.009881913661956787,-0.22134673595428467,-0.052101694921248054,-0.0022415518760681152,-0.15216517448425293,-0.059294347593777275,-0.011701226234436035,-0.11428642272949219,-0.05889632640241871,0.0286252498626709,-0.16157490015029907,-0.025665570924275016,0.04434609413146973,-0.2174166440963745,-0.05358528805732021,0.02832162380218506,-0.15691453218460083,-0.050955613086216545,0.014501571655273438,-0.11455637216567993,-0.0425381929969717,0.05217289924621582,-0.14435893297195435,-0.030360356847040748,0.07290327548980713,-0.1966773271560669,-0.04893543286084423,0.08804768323898315,-0.22720634937286377,-0.0521529325640131,0.10238504409790039,-0.263025164604187,-0.050775532553188896,Y
